Manufacturer,Model,Adult_Occupant,Child_Occupant
Toyota,Toyota Corolla + 3 Airbags,15.83 max. 17.00 ,41.25 max. 49.00 
Toyota,Toyota Etios + 2 Airbags,12.87 max. 16.00 ,17.38 max. 49.00 
Toyota,Toyota Corolla XEI + 2 Airbags,13.60 max. 16.00 ,12.68 max. 49.00 
Volkswagen,Volkswagen Fox + 2 Airbags,11.34 max. 17.00 ,21.23 max. 49.00 
Volkswagen,Volkswagen Vento / Polo Sedán + 2 Airbags,14.73 max. 17.00 ,34.16 max. 49.00 
Volkswagen,Volkswagen Golf + 7 Airbags,16.56 max. 17.00 ,44.30 max. 49.00 
Volkswagen,Volkswagen up! + 2 Airbags,15.86 max. 17.00 ,39.54 max. 49.00 
Volkswagen,Volkswagen Jetta / Vento + 2 Airbags,15.34 max. 17.00 ,39.20 max. 49.00 
Volkswagen,Volkswagen Clásico (Bora) + 2 Airbags,10.27 max. 16.00 ,35.82 max. 49.00 
Volkswagen,Volkswagen Polo + 2 Airbags,11.34 max. 16.00 ,36.95 max. 49.00 
Volkswagen,Volkswagen Gol Trend 1.6 + 2 Airbags,10.01 max. 16.00 ,21.16 max. 49.00 
Volkswagen,Volkswagen Gol Trend 1.6 - NO Airbags,5.75 max. 16.00 ,18.89 max. 49.00 
